libname,address,city,zip,cnty,sq_feet,longitude,latitude
TRUSSVILLE PUBLIC LIBRARY,201 PARKWAY DRIVE,TRUSSVILLE,35173,JEFFERSON,25000,-86.6046,33.62652
VESTAVIA HILLS LIBRARY IN THE FOREST,1221 MONTGOMERY HIGHWAY,VESTAVIA HILLS,35216,JEFFERSON,16500,-86.7881,33.43501
WARRIOR PUBLIC LIBRARY,101 FIRST STREET,WARRIOR,35180,JEFFERSON,1800,-86.8079,33.81341
BIRMINGHAM PUBLIC - AVONDALE REGIONAL LIBRARY,509 40TH STREET SOUTH,BIRMINGHAM,35222,JEFFERSON,14552,-86.7739,33.52049
BIRMINGHAM PUBLIC - CENTRAL BRANCH,2100 PARK PLACE,BIRMINGHAM,35203,JEFFERSON,229800,-86.8078,33.52058
BIRMINGHAM PUBLIC - EAST ENSLEY BRANCH,900 14TH STREET - ENSLEY,BIRMINGHAM,35218,JEFFERSON,4500,-86.8892,33.51514
BIRMINGHAM PUBLIC - EAST LAKE BRANCH,5 OPORTO-MADRID BLVD. SOUTH,BIRMINGHAM,35206,JEFFERSON,12000,-86.7276,33.56061
BIRMINGHAM PUBLIC - EASTWOOD BRANCH,4500 MONTEVALLO ROAD,BIRMINGHAM,35210,JEFFERSON,2400,-86.7266,33.52077
BIRMINGHAM PUBLIC - ENSLEY BRANCH,"1201 25TH STREET, ENSLEY",BIRMINGHAM,35218,JEFFERSON,6480,-86.8933,33.50394
BIRMINGHAM PUBLIC - FIVE POINTS WEST BRANCH,4812 AVENUE W,BIRMINGHAM,35208,JEFFERSON,30000,-86.8732,33.4932
BIRMINGHAM PUBLIC - INGLENOOK BRANCH,4100 40TH TERRACE NORTH,BIRMINGHAM,35217,JEFFERSON,2814,-86.7759,33.56244
BIRMINGHAM PUBLIC - NORTH AVONDALE BRANCH,501 43RD STREET NORTH,BIRMINGHAM,35222,JEFFERSON,4250,-86.7726,33.53144
BIRMINGHAM PUBLIC - NORTH BIRMINGHAM REGIONAL BRANCH,2501 31ST AVENUE NORTH,BIRMINGHAM,35207,JEFFERSON,14000,-86.8197,33.55234
BIRMINGHAM PUBLIC - POWDERLY BRANCH,3301 JEFFERSON AVENUE SW,BIRMINGHAM,35221,JEFFERSON,5082,-86.8874,33.46401
BIRMINGHAM PUBLIC - PRATT CITY BRANCH,1100 HIBERNIAN STREET,BIRMINGHAM,35214,JEFFERSON,8140,-86.8791,33.54102
BIRMINGHAM PUBLIC - SMITHFIELD BRANCH,18TH AVENUE WEST,BIRMINGHAM,35204,JEFFERSON,8100,-86.8781,33.53783
BIRMINGHAM PUBLIC - SOUTHSIDE BRANCH,1814 11TH AVENUE SOUTH,BIRMINGHAM,35205,JEFFERSON,8000,-86.7983,33.49967
BIRMINGHAM PUBLIC - SPRINGVILLE ROAD REGIONAL BRANCH,1224 OLD SPRINGVILLE ROAD,BIRMINGHAM,35215,JEFFERSON,17100,-86.6761,33.61604
BIRMINGHAM PUBLIC - TITUSVILLE BRANCH,26TH AVENUE SW,BIRMINGHAM,35211,JEFFERSON,9000,-86.8597,33.4777
BIRMINGHAM PUBLIC - WEST END BRANCH,1348 TUSCALOOSA AVE. SW,BIRMINGHAM,35211,JEFFERSON,8200,-86.8543,33.49268
BIRMINGHAM PUBLIC - WOODLAWN BRANCH,5709 FIRST AVENUE NORTH,BIRMINGHAM,35212,JEFFERSON,6500,-86.7501,33.54217
BIRMINGHAM PUBLIC - WYLAM BRANCH,"4300 7TH AVENUE, WYLAM",BIRMINGHAM,35224,JEFFERSON,3100,-86.92,33.50574
FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,504 GRAND AVENUE NW,FORT PAYNE,35967,DEKALB,10193,-85.7199,34.44529
FORT PAYNE - DEKALB COUNTY BOOKMOBILE,504 GRAND AVENUE NW,FORT PAYNE,35967,DEKALB,-3,-85.719998,34.44529
COLLINSVILLE PUBLIC LIBRARY,151 MAIN STREET,COLLINSVILLE,35961,DEKALB,3000,-85.8611,34.26396
GERALDINE PUBLIC LIBRARY,13543 ALABAMA HIGHWAY 227,GERALDINE,35974,DEKALB,6980,-86.0056,34.35816
RAINSVILLE PUBLIC LIBRARY,941 EAST MAIN STREET,RAINSVILLE,35986,DEKALB,9100,-85.8291,34.48672
ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,700 EAST CHURCH STREET,ATMORE,36502,ESCAMBIA,360,-87.4856,31.0226
ATMORE PUBLIC LIBRARY,700 E. CHURCH STREET,ATMORE,36502,ESCAMBIA,15000,-87.4856,31.0226
BREWTON PUBLIC LIBRARY,206 WEST JACKSON STREET,BREWTON,36426,ESCAMBIA,7459,-87.0702,31.12026
FLOMATON PUBLIC LIBRARY,436 HOUSTON STREET,FLOMATON,36441,ESCAMBIA,9324,-87.262200000000007,31.00175
GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,254 COLLEGE STREET,GADSDEN,35901,ETOWAH,50000,-86.0097,34.01283
GADSDEN - ETOWAH COUNTY PUBLIC - EAST GADSDEN BRANCH,809 EAST BROAD STREET,GADSDEN,35903,ETOWAH,1600,-85.9846,34.00204
HOYT WARSHAM ALABAMA CITY BRANCH LIBRARY,2700 WEST MEIGHAN BLVD,GADSDEN,35904,ETOWAH,2500,-86.0462,34.02254
ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,604 NORTH 4TH STREET,ATTALLA,35954,ETOWAH,2500,-86.0879,34.02382
RAINBOW CITY PUBLIC LIBRARY,3702 RAINBOW DRIVE,RAINBOW CITY,35906,ETOWAH,10508,-86.0448,33.95111
DEMOPOLIS PUBLIC LIBRARY,211 E. WASHINGTON STREET,DEMOPOLIS,36732,MARENGO,19980,-87.8361,32.51736
MARENGO COUNTY PUBLIC LIBRARY,210 NORTH SHILOH STREET,LINDEN,36748,MARENGO,2300,-87.7964,32.30717
MARSHALL COUNTY COOPERATIVE LIBRARY,19348 HIGHWAY 431 NORTH,GUNTERSVILLE,35976,MARSHALL,-4,-86.2843,34.38374
ARAB PUBLIC LIBRARY,325 2ND STREET NW,ARAB,35016,MARSHALL,7691,-86.4969,34.32027
BOAZ PUBLIC LIBRARY,404 THOMAS AVE.,BOAZ,35957,MARSHALL,22650,-86.1614,34.20079
GUNTERSVILLE PUBLIC LIBRARY,1240 O`BRIG AVENUE,GUNTERSVILLE,35976,MARSHALL,14900,-86.3021,34.34917
ALBERTVILLE PUBLIC LIBRARY,200 JACKSON STREET,ALBERTVILLE,35950,MARSHALL,19536,-86.204,34.26396
HARRISON REGIONAL LIBRARY SYSTEM,50 LESTER STREET,COLUMBIANA,35051,SHELBY,6997,-86.6086,33.17994
HARPERSVILLE PUBLIC LIBRARY,39397 HIGHWAY 25,HARPERSVILLE,35078,SHELBY,500,-86.4311,33.35281
WESTOVER PUBLIC LIBRARY,3312 WESTOVER ROAD,WESTOVER,35147,SHELBY,225,-86.5189,33.35823
ALABASTER - ALBERT L. SCOTT LIBRARY,100 9TH STREET N.W.,ALABASTER,35007,SHELBY,7200,-86.8266,33.24441
CALERA PUBLIC LIBRARY,9700 HIGHWAY 25,CALERA,35040,SHELBY,3200,-86.7681,33.09736
COLUMBIANA PUBLIC LIBRARY,50 LESTER STREET,COLUMBIANA,35051,SHELBY,3300,-86.6086,33.17994
HELENA - JANE B. HOLMES PUBLIC LIBRARY,230 TUCKER ROAD,HELENA,35080,SHELBY,6600,-86.8425,33.28845
VINCENT - LALLOUSE MCGRAW PUBLIC LIBRARY,42850 HIGHWAY 25,VINCENT,35178,SHELBY,1500,-86.4106,33.38731
PARNELL MEMORIAL LIBRARY,277 PARK DRIVE,MONTEVALLO,35115,SHELBY,12375,-86.8583,33.10069
PELHAM PUBLIC LIBRARY,2000 PELHAM PARK BLVS,PELHAM,35124,SHELBY,20000,-86.8065,33.30758
WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,9905 NORTH MAIN STREET,WILSONVILLE,35186,SHELBY,900,-86.4841,33.23483
NORTH SHELBY COUNTY LIBRARY,5521 CAHABA VALLEY ROAD,BIRMINGHAM,35242,SHELBY,26000,-86.7169,33.36511
MT LAUREL LIBRARY,111 OLMSTED STREET,BIRMINGHAM,35242,SHELBY,1500,-86.6295,33.4091
ALICEVILLE PUBLIC LIBRARY,416 THIRD AVENUE NE,ALICEVILLE,35442,PICKENS,3900,-88.1473,33.12934
CARROLLTON PUBLIC LIBRARY,225 COMMERCE AVENUE,CARROLLTON,35447,PICKENS,4635,-88.0944,33.25866
GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,287 MAIN STREET SOUTH,GORDO,35466,PICKENS,2800,-87.903,33.3178
REFORM PUBLIC LIBRARY,302 FIRST STREET SOUTH,REFORM,35481,PICKENS,3815,-88.0159,33.37669
ASHVILLE PUBLIC LIBRARY,196 SIXTH AVENUE,ASHVILLE,35953,ST. CLAIR,1873,-86.2538,33.83653
MOODY - DORIS STANLEY MEMORIAL LIBRARY,300 BOOKMARK CIRCLE,MOODY,35004,ST. CLAIR,5600,-86.503,33.59062
ODENVILLE PUBLIC LIBRARY,200 ALABAMA STREET,ODENVILLE,35120,ST. CLAIR,3150,-86.3964,33.68127
PELL CITY PUBLIC LIBRARY,1000 BRUCE ETHEREDGE PKWY STE 100,PELL CITY,35128,ST. CLAIR,14000,-86.2759,33.57713
YORK - HIGHTOWER MEMORIAL LIBRARY,630 AVENUE A,YORK,36925,SUMTER,2500,-88.2958,32.48335
LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,206 MONROE ST.,LIVINGSTON,35470,SUMTER,6000,-88.1893,32.58431
ANNISTON AND CALHOUN COUNTY PUBLIC LIBRARY,108 EAST 10TH STREET,ANNISTON,36202,CALHOUN,33000,-85.8285,33.65708
ANNISTON AND CALHOUN  COUNTY - CARVER BRANCH,722 W. 14TH STREET,ANNISTON,36201,CALHOUN,2000,-85.8389,33.66232
ANNISTON AND CALHOUN COUNTY - BOOKMOBILE,108 EAST 10TH STREET,ANNISTON,36202,CALHOUN,-4,-85.8285,33.65708
JACKSONVILLE PUBLIC LIBRARY,200 PELHAM ROAD SOUTH,JACKSONVILLE,36265,CALHOUN,8834,-85.7612,33.81278
PIEDMONT PUBLIC LIBRARY,106 NORTH MAIN STREET,PIEDMONT,36272,CALHOUN,3600,-85.6135,33.92406
AKRON PUBLIC LIBRARY,207 FIRST AVENUE SOUTH,AKRON,35441,HALE,900,-87.7431,32.87673
DOTHAN - ASHFORD BRANCH LIBRARY,305 SIXTH AVENUE,ASHFORD,36312,HOUSTON,1000,-85.2336,31.183
DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,445 NORTH OATES STREET,DOTHAN,36302,HOUSTON,36000,-85.394,31.22846
DOTHAN HOUSTON COUNTY BOOKMOBILE,445 NORTH OATES STREET,DOTHAN,36303,HOUSTON,-4,-85.394,31.22846
DOTHAN - WESTGATE BRANCH LIBRARY,535 RECREATION ROAD,DOTHAN,36303,HOUSTON,13000,-85.4387,31.23868
BLOUNTSVILLE PUBLIC LIBRARY,65 CHESTNUT STREET,BLOUNTSVILLE,35031,BLOUNT,2000,-86.5899,34.07896
CHEROKEE PUBLIC LIBRARY,118 CHURCH STREET,CHEROKEE,35616,COLBERT,3060,-87.9721,34.75663
BRENT - CENTREVILLE PUBLIC LIBRARY,20 LIBRARY STREET,CENTREVILLE,35042,BIBB,5000,-87.1508,32.94537
CHILTON - CLANTON PUBLIC LIBRARY,100 FIRST AVENUE,CLANTON,35045,CHILTON,8770,-86.6249,32.8406
CHILTON - CLANTON PUBLIC - JEMISON BRANCH LIBRARY,24568 US HIGHWAY 31,JEMISON,35085,CHILTON,1800,-86.7429,32.95714
CHILTON - CLANTON PUBLIC - MAPLESVILLE BRANCH,9400 MAIN STREET,MAPLESVILLE,36750,CHILTON,2500,-86.8364,32.8015
CHOCTAW COUNTY PUBLIC LIBRARY,124 NORTH ACADEMY AVENUE,BUTLER,36904,CHOCTAW,7500,-88.22,32.09019
CHOCTAW COUNTY PUBLIC - GILBERTOWN BRANCH,251 COLLEGE STREET,GILBERTOWN,36908,CHOCTAW,3000,-88.3133,31.87289
CITRONELLE MEMORIAL LIBRARY,7855 STATE STREET,CITRONELLE,36522,MOBILE,5200,-88.2292,31.0909
GROVE HILL PUBLIC LIBRARY,108 DUBOSE AVENUE,GROVE HILL,36451,CLARKE,7431,-87.7753,31.70536
HUNTSVILLE PUBLIC - BESSIE K. RUSSELL BRANCH,3011-C SPARKMAN DRIVE,HUNTSVILLE,35810,MADISON,2000,-86.6096,34.76196
HUNTSVILLE PUBLIC - ELEANOR E. MURPHY BRANCH,7910 CHARLOTTE DRIVE,HUNTSVILLE,35802,MADISON,3300,-86.5729,34.66022
GURLEY PUBLIC LIBRARY,225 WALKER STREET,GURLEY,35748,MADISON,3000,-86.3717,34.69616
HUNTSVILLE PUBLIC - MADISON BRANCH LIBRARY,142 PLAZA DRIVE,MADISON,35758,MADISON,25000,-86.7439,34.71028
HUNTSVILLE PUBLIC - ELIZABETH CARPENTER PUBLIC LIBRARY,5496 MAIN STREET,NEW HOPE,35760,MADISON,1950,-86.3942,34.53688
HUNTSVILLE PUBLIC - TRIANA BRANCH,357 RECORD ROAD,MADISON,35756,MADISON,3738,-86.7344,34.58254
HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY BOOKMOBILE,915 MONROE STREET,HUNTSVILLE,35804,MADISON,-4,-86.5892,34.72481
HUNTSVILLE PUBLIC - BAILEY COVE BRANCH LIBRARY,1409 WEATHERLY PLAZA,HUNTSVILLE,35803,MADISON,9990,-86.5408,34.64466
"HUNTSVILLE PUBLIC - DR. RICHARD SHOWERS, SR. LIBRARY",4600 BLUE SPRING ROAD,HUNTSVILLE,35810,MADISON,3000,-86.5986,34.78394
HUNTSVILLE PUBLIC - TILLMAN HILL BRANCH,131 KNOWLEDGE DRIVE,HAZEL GREEN,35750,MADISON,5000,-86.5727,34.93431
HUNTSVILLE PUBLIC - MONROVIA BRANCH LIBRARY,254 ALLEN DRAKE ROAD,HUNTSVILLE,35806,MADISON,5000,-86.7148,34.81191
HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,915 MONROE STREET,HUNTSVILLE,35804,MADISON,123000,-86.5892,34.72481
HUNTSVILLE PUBLIC - OSCAR MASON BRANCH,149 MASON COURT,HUNTSVILLE,35805,MADISON,1428,-86.6046,34.72886
HUNTSVILLE PUBLIC - CAVALRY HILLS BRANCH,2800 POPLAR AVENUE,HUNTSVILLE,35816,MADISON,2600,-86.6102,34.73809
"EUTAW - JAMES C. POOLE, JR. MEMORIAL LIIBRARY",420 PRAIRIE AVENUE,EUTAW,35462,GREENE,6201,-87.8879,32.83754
GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,309 FORT DALE STREET,GREENVILLE,36037,BUTLER,13777,-86.6272,31.83266
HALE COUNTY LIBRARY,1103 MAIN STREET,GREENSBORO,36744,HALE,2378,-87.5922,32.70406
CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,224 GRANT STREET,CHICKASAW,36611,MOBILE,5979,-88.0777,30.76557
JACKSON - WHITE SMITH MEMORIAL LIBRARY,213 COLLEGE AVENUE,JACKSON,36451,CLARKE,10000,-87.8938,31.51256
MARION - PERRY COUNTY PUBLIC LIBRARY,202 WASHINGTON STREET,MARION,36756,PERRY,2100,-87.319,32.63406
WOODVILLE PUBLIC LIBRARY,26 VENSON STREET,WOODVILLE,35776,JACKSON,3643,-86.2749,34.62701
CITY OF BAYOU LA BATRE PUBLIC LIBRARY,12747 PADGETT SWITCH ROAD,IRVINGTON,36544,MOBILE,3500,-88.2411,30.42561
SCOTTSBORO PUBLIC LIBRARY,1002 SOUTH BROAD STREET,SCOTTSBORO,35768,JACKSON,8500,-86.0351,34.66129
ONEONTA PUBLIC LIBRARY,221 SECOND STREET SOUTH,ONEONTA,35121,BLOUNT,8000,-86.4753,33.94416
THOMASVILLE PUBLIC LIBRARY,1401 MOSLEY DRIVE,THOMASVILLE,36784,CLARKE,4404,-87.7371,31.93221
MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,302 SOUTH MAIN STREET,TUSKEGEE,36083,MACON,2860,-85.689,32.4219
MOUNDVILLE PUBLIC LIBRARY,279 MARKET STREET,MOUNDVILLE,35474,HALE,1100,-87.6265,32.99747
UNIONTOWN PUBLIC LIBRARY,108 WATER STREET,UNIONTOWN,36786,PERRY,3410,-87.5143,32.44928
PRICHARD PUBLIC LIBRARY,300 LOVEJOY LOOP WEST,PRICHARD,36610,MOBILE,10000,-88.0839,30.73173
PRICHARD PUBLIC - MITCHELL BRANCH,4440 HIGHPOINT BLVD,EIGHT MILE,36613,MOBILE,1300,-88.1611,30.75997
WASHINGTON COUNTY PUBLIC - MCINTOSH BRANCH LIBRARY,803 RIVER ROAD,MCINTOSH,36553,WASHINGTON,-1,-88.0188,31.26314
WASHINGTON COUNTY PUBLIC LIBRARY,14102 ST. STEPHENS AVE.,CHATOM,36518,WASHINGTON,15000,-88.2425,31.46116
WASHINGTON COUNTY BOOKMOBILE,14102 ST. STEPHENS AVE,CHATOM,36518,WASHINGTON,-4,-88.2425,31.46116
EVERGREEN - CONECUH COUNTY PUBLIC LIBRARY,119 CEMETERY AVENUE,EVERGREEN,36401,CONECUH,11432,-86.9531,31.43398
MOBILE PUBLIC LIBRARY - BEN MAY MAIN LIBRARY,701 GOVERNMENT STREET,MOBILE,36602,MOBILE,49258,-88.0504,30.6872
MOBILE PUBLIC - PARKWAY BRANCH,1924-B DAUPHIN ISLAND PARKWAY,MOBILE,36602,MOBILE,8820,-88.089,30.63131
MOBILE PUBLIC - MOORER/SPRING HILL BRANCH,4 MCGREGOR AVENUE SOUTH,MOBILE,36633,MOBILE,11892,-88.1443,30.69516
MOBILE PUBLIC - TOULMINVILLE BRANCH,601 STANTON ROAD,MOBILE,36602,MOBILE,15395,-88.0967,30.70875
MOBILE PUBLIC - SARALAND BRANCH LIBRARY,111 SARALAND LOOP,MOBILE,36571,MOBILE,7168,-88.0738,30.82496
MOBILE PUBLIC LIBRARY - BOOKMOBILE,700 GOVERNMENT STREET,MOBILE,36633,MOBILE,-4,-88.0504,30.68725
MOBILE PUBLIC - WEST REGIONAL LIBRARY,5555 GRELOT ROAD,MOBILE,36602,MOBILE,49258,-88.1699,30.66358
MOBILE PUBLIC - THEODORE OAKS BRANCH,"5808 HIGHWAY 90 WEST, SUITE E",MOBILE,36602,MOBILE,3452,-88.1737,30.55571
MOBILE PUBLIC - TRINITY GARDENS COMMUNITY BRANCH LIBRARY,2668 BERKLEY AVENUE,MOBILE,36602,MOBILE,1647,-88.1121,30.73301
SEMMES BRANCH,9150 MOFFETT ROAD,MOBILE,36602,MOBILE,14050,-88.2584,30.77938
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - JULIETTE HAMPTON MOR,245 HIGH STREET,MONTGOMERY,36104,MONTGOMERY,52000,-86.3052,32.3719
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - COLISEUM BOULEVARD B,840 COLISEUM BOULEVARD,MONTGOMERY,36108,MONTGOMERY,7600,-86.2594,32.40006
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- GOVERNOR`S SQUARE BRA,2885-B EAST SOUTH BOULEVARD,MONTGOMERY,36116,MONTGOMERY,12500,-86.2462,32.32745
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- PIKE ROAD BRANCH,9585 VAUGHN ROAD,PIKE ROAD,36064,MONTGOMERY,5700,-86.0908,32.3469
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - PINTLALA BRANCH,255 FEDERAL ROAD,HOPE HULL,36043,MONTGOMERY,6700,-86.3723,32.17653
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - RAMER BRANCH,5444 STATE HIGHWAY 94,RAMER,36069,MONTGOMERY,4500,-86.2171,32.05213
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - BERTHA P. WILLIAMS L,1276 ROSA PARKS AVENUE,MONTGOMERY,36108,MONTGOMERY,5228,-86.3168,32.35937
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- EL LOWDER REGIONAL LI,3950 BELL ROAD,MONTGOMERY,36116,MONTGOMERY,9500,-86.1957,32.32631
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - RUFUS A. LEWIS REGIO,3095 MOBILE HIGHWAY,MONTGOMERY,36108,MONTGOMERY,9500,-86.3387,32.347410000000004
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- HAMPSTEAD BRANCH,5240 HAMPSTEAD HIGH STREET,MONTGOMERY,36116,MONTGOMERY,3400,-86.1872,32.31251
WHITE HALL PUBLIC LIBRARY,640 FREEDOM ROAD,WHITE HALL,36040,LOWNDES,1200,-86.7169,32.29124
STEVENSON PUBLIC LIBRARY,102 WEST MAIN STREET,STEVENSON,35772,JACKSON,5500,-85.8388,34.8687
KILLEN PUBLIC LIBRARY,325 J. C. MAULDIN HIGHWAY,KILLEN,35645,LAUDERDALE,2000,-87.5405,34.8594
LEXINGTON PUBLIC LIBRARY,11075 HIGHWAY 101,LEXINGTON,35648,LAUDERDALE,13500,-87.3712,34.96832
AUTAUGA - PRATTVILLE PUBLIC LIBRARY,254 DOSTER STREET,PRATTVILLE,36067,AUTAUGA,12000,-86.4685,32.45687
AUTAUGAVILLE PUBLIC LIBRARY,107 N. TAYLOR ROAD,AUTAUGAVILLE,36003,AUTAUGA,1500,-86.6571,32.43164
BILLINGSLEY PUBLIC LIBRARY,2021 OFFICE STREET,BILLINGSLEY,36006,AUTAUGA,300,-86.7186,32.65878
MARBURY PUBLIC LIBRARY,205 COUNTY RD. 20,MARBURY,36051,AUTAUGA,1200,-86.4752,32.70097
FAYETTE COUNTY MEMORIAL LIBRARY,326 TEMPLE AVENUE NORTH,FAYETTE,35555,FAYETTE,11090,-87.8307,33.68804
PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,1501 17TH AVENUE,PHENIX CITY,36867,RUSSELL,22000,-85.0161,32.47533
SELMA - DALLAS COUNTY PUBLIC LIBRARY,1103 SELMA AVENUE,SELMA,36701,DALLAS,25000,-87.02,32.4092
WEAVER-BOLDEN BRANCH LIBRARY,2522 LANIER AVE,TUSCALOOSA,35401,TUSCALOOSA,6000,-87.5793,33.18906
TUSCALOOSA PUBLIC LIBRARY,1801 JACK WARNER PARKWAY,TUSCALOOSA,35401,TUSCALOOSA,60000,-87.5624,33.21621
TUSCALOOSA PUBLIC LIBRARY - BOOKMOBILE,1801 JACK WARNER PARKWAY,TUSCALOOSA,35401,TUSCALOOSA,-4,-87.5624,33.21621
BROWN BRANCH LIBRARY,300B BOBBY MILLER PARKWAY,TUSCALOOSA,35405,TUSCALOOSA,4000,-87.5421,33.12138
TUSCALOOSA PUBLIC LIBRARY BOOKMOBILE 2,1801 JACK WARNER PARKWAY,TUSCALOOSA,35401,TUSCALOOSA,-4,-87.5624,33.21621
WILCOX COUNTY LIBRARY,100 BROAD STREET,CAMDEN,36726,WILCOX,6000,-87.289,31.99052
WILCOX COUNTY - PINE APPLE BRANCH LIBRARY,124 COUNTY ROAD 59,PINE APPLE,36768,WILCOX,800,-86.9925,31.88967
WILCOX COUNTY - PINE HILL BRANCH LIBRARY,530 OAK GROVE STREET,PINE HILL,36769,WILCOX,2500,-87.5898,31.98887
MONROE COUNTY PUBLIC LIBRARY,121 PINEVILLE ROAD,MONROEVILLE,36460,MONROE,10000,-87.3228,31.52804
CULLMAN COUNTY PUBLIC LIBRARY,200 CLARK STREET NE,CULLMAN,35055,CULLMAN,9300,-86.8426,34.17912
CULLMAN COUNTY PUBLIC - HANCEVILLE BRANCH,201 COMMERCE ST.,HANCEVILLE,35077,CULLMAN,1600,-86.7681,34.05849
CULLMAN COUNTY PUBLIC - BOOKMOBILE,200 CLARK ST. NE,CULLMAN,35055,CULLMAN,-4,-86.8426,34.17912
CULLMAN COUNTY PUBLIC - COLONY BRANCH LIBRARY,151 BYARS ROAD,HANCEVILLE,35072,CULLMAN,1600,-86.8877,33.948
CULLMAN PUBLIC LIBARY - GARDEN CITY BRANCH LIBRARY,501 FIRST AVENUE S,GARDEN CITY,35070,CULLMAN,1400,-86.7495,34.01034
CULLMAN PUBLIC LIBRARY - GUY HUNT LIBRARY - HOLLY POND,60 LIONS PARK ROAD,HOLLY POND,35083,CULLMAN,1400,-86.614,34.17584
VALLEY - H. GRADY BRADSHAW CHAMBERS COUNTY LIBRARY,3419 20TH AVENUE,VALLEY,36854,CHAMBERS,25000,-85.1775,32.83804
LAFAYETTE PILOT PUBLIC LIBRARY,198 1ST STREET SE,LAFAYETTE,36862,CHAMBERS,2500,-85.4002,32.89802
HOKES BLUFF PUBLIC LIBRARY,3310 ALFORDS BEND ROAD,HOKES BLUFF,35903,ETOWAH,5000,-85.866,33.99247
RAGLAND PUBLIC LIBRARY,26 PROVIDENCE ROAD,RAGLAND,35131,ST. CLAIR,2925,-86.144,33.74441
HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY,215 B TUSKEENA STREET,HAYNEVILLE,36040,LOWNDES,6424,-86.5778,32.18406
IDER PUBLIC LIBRARY,11309 ALABAMA HIGHWAY 75 UNIT 1,IDER,35981,DEKALB,1350,-85.6734,34.69026
EUFAULA CARNEGIE LIBRARY,217 NORTH EUFAULA AVENUE,EUFAULA,36027,BARBOUR,19976,-85.1455,31.89512
GRANT PUBLIC LIBRARY,5379 MAIN STREET,GRANT,35747,MARSHALL,2580,-86.2525,34.52497
DALEVILLE PUBLIC LIBRARY,308 DONNELL BOULEVARD,DALEVILLE,36322,DALE,6768,-85.707,31.31474
COURTLAND PUBLIC LIBRARY,215 COLLEGE STREET,COURTLAND,35618,LAWRENCE,864,-87.3104,34.6665
EVA PUBLIC LIBRARY,4549 HIGHWAY 55 EAST,EVA,35621,MORGAN,3834,-86.7574,34.33155
CROSSVILLE PUBLIC LIBRARY,12 LIBRARY LANE,CROSSVILLE,35962,DEKALB,4800,-85.993,34.28703
WALNUT GROVE - WESTSIDE PUBLIC LIBRARY,5151 WALNUT GROVE ROAD,ALTOONA,35990,ETOWAH,2500,-86.3075,34.05403
ORANGE BEACH PUBLIC LIBRARY,26267 CANAL ROAD,ORANGE BEACH,36561,BALDWIN,10500,-87.577,30.29212
SATSUMA PUBLIC LIBRARY,5466 OLD HIGHWAY 43,SATSUMA,36572,MOBILE,5800,-88.0597,30.8451
FALKVILLE PUBLIC LIBRARY,7 NORTH 1ST AVENUE,FALKVILLE,35622,MORGAN,1500,-86.9073,34.36719
SPRINGVILLE PUBLIC LIBRARY,6315 U.S. HIGHWAY 11,SPRINGVILLE,35146,ST. CLAIR,3360,-86.4728,33.77445
BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY,401 ALABAMA AVENUE,BRIDGEPORT,35740,JACKSON,2600,-85.7174,34.94737
WEST BLOCTON PUBLIC LIBRARY,109 FLORIDA STREET,WEST BLOCTON,35184,BIBB,2820,-87.1167,33.11674
CARBON HILL CITY LIBRARY,215 NW 2ND STREET,CARBON HILL,35549,WALKER,960,-87.5289,33.88992
OHATCHEE PUBLIC LIBRARY,7803 ALABAMA HIGHWAY 77,OHATCHEE,36271,CALHOUN,2250,-86.0417,33.76521
SOMERVILLE PUBLIC LIBRARY,192 BROAD STREET,SOMERVILLE,35670,MORGAN,2000,-86.7991,34.47342
CHELSEA PUBLIC LIBRARY,16623 HIGHWAY 80,CHELSEA,35043,SHELBY,5100,-86.6295,33.34782
DUTTON PUBLIC LIBRARY,23 MAIN STREET,DUTTON,35744,JACKSON,1600,-85.9181,34.60394
FORT DEPOSIT PUBLIC LIBRARY,11 MILNER STREET,FORT DEPOSIT,36032,LOWNDES,6424,-86.579,31.98726
